Data-storage-ID,PI-ID,Origin country
HNSM-14,PI424477,Korea
HNSM-15,PI398440,Korea
HNSM-16,PI399079,Korea
HNSM-17,PI408029,Korea
HNSM-18,PI408097,Korea
HNSM-19,PI408111,Korea
HNSM-20,PI408132,Korea
HNSM-21,PI273483D,Korea
HNSM-22,V71-370,ND
HNSM-23,PI427106,China
HNSM-24,PI427105B,China
HNSM-25,PI525453,USA
HNSM-26,PI548616,USA
HNSM-27,PI407076,Japan
HNSM-28,PI507582,Japan
HNSM-29,PI507597,Japan
HNSM-30,PI507621,Japan
HNSM-31,PI507794,Russia
HNSM-32,PI562539,Korea
HNSM-33,PI562547,Korea
HNSM-34A,Unknown,ND
HNSM-35a,Unknown,ND
HNY-01,R11-7999,USA
HNY-02,R10-5828,USA
HNY-03,R02-6268,USA
HNY-04,R08-1450,USA
HNY-05,R05-655,USA
HNY-06,R07-2000,USA
HNY-07,PI567425B,China
HNY-08,PI597473,China
HNY-09,PI567671A,China
HNY-10,PI567614B,China
HNY-11,SS98-3403,USA
HNY-12,LG11-8737,USA
HNY-13,LG11-8744,USA
HNY-14,PI483464 A,China
HNY-15,S12-1879,USA
HNY-16,S12-2894,USA
HNY-17,S09-9943,USA
HNY-18,S12-2994M,USA
HNY-19,S12-3187,USA
HNY-20,S11-17025,USA
HNY-21,S11-16195,USA
HNY-22,S08-17361,USA
HNY-23,S09-13185,USA
HNY-24,OSAGE,USA
HNY-25,ANAND,USA
HNY-26,STODDARD,USA
HNY-27,JTN 5503,USA
HNY-28,560 IT,USA
HNY-29,S07-5049,USA
HNY-30,S07-5117,USA
HNY-31,S07-6699,USA
HNY-32,PI654356,USA
HNY-33,PI595645,USA
HNY-38,LG04-5196,USA
HNY-39,LG04-6000,USA
HNY-40,U98-311442,USA
HNY-41,PI606748,USA
HNY-42,PI340042,Korea
HNY-43,LD04-13265,USA
HNY-44,Woodruff,USA
HNY-45,PI553045,USA
HNY-46,PI615694,USA
HNY-47,PI602597,USA
HNY-48,PI483460B,China
HNY-49,Uram,Korea
HNY-50,PI468916,China
HNY-51,PI548352,Korea
HNY-52,PI548379,China
HNY-53,PI360955A,Sweden
HNY-54,PI653935,Vietnam
HNY-55,PI248399,Serbia
HNY-56,LG11-8690,USA
HNY-57,LG11-8706,USA
HNY-58,PI619083,Serbia
HNY-59,PI543795,USA
PI342622A,PI342622A,Russia
PI378683,PI378683,Japan
PI378684A,PI378684A,Japan
PI378684B,PI378684B,Japan
PI378690,PI378690,Japan
PI378696A,PI378696A,Japan
PI378696B,PI378696B,Japan
PI378698,PI378698,Japan
PI378699A,PI378699A,Japan
PI407020,PI407020,Japan
PI407038,PI407038,Japan
PI407042,PI407042,Japan
PI407052,PI407052,Japan
PI407077,PI407077,Japan
PI407083,PI407083,Japan
PI407085,PI407085,Japan
PI407096,PI407096,Japan
PI407156,PI407156,Japan
PI407171,PI407171,Korea
PI407175,PI407175,Korea
PI407179,PI407179,Korea
PI407183,PI407183,Korea
PI407191,PI407191,Korea
PI407202,PI407202,Korea
PI407214,PI407214,Korea
PI407220,PI407220,Korea
PI407228,PI407228,Korea
PI407229,PI407229,Korea
PI407231,PI407231,Korea
PI407239,PI407239,Korea
PI407240,PI407240,Korea
PI407241,PI407241,Korea
PI407243,PI407243,Korea
PI407262,PI407262,Korea
PI407270,PI407270,Korea
PI407281,PI407281,Korea
PI407286,PI407286,Japan
PI407287,PI407287,Japan
PI407300,PI407300,China
PI407303,PI407303,China
PI407307,PI407307,China
PI407308,PI407308,Korea
PI407315,PI407315,Korea
PI407318A,PI407318A,Korea
PI424004B,PI424004B,Korea
PI424007,PI424007,Korea
PI424008A,PI424008A,Korea
PI424014,PI424014,Korea
PI424025B,PI424025B,Korea
PI424045,PI424045,Korea
PI424070B,PI424070B,Korea
PI424083A,PI424083A,Korea
PI424102A,PI424102A,Korea
PI424107A,PI424107A,Korea
PI447003A,PI447003A,China
PI464890B,PI464890B,China
PI464925B,PI464925B,China
PI468918,PI468918,China
PI479746B,PI479746B,China
PI479768,PI479768,China
PI483466,PI483466,China
PI507609,PI507609,Japan
PI507615,PI507615,Japan
PI507618,PI507618,Japan
PI507619B,PI507619B,Japan
PI507624,PI507624,Japan
PI507638,PI507638,Japan
PI507641,PI507641,Japan
PI507667,PI507667,Japan
PI507752,PI507752,Russia
PI507757,PI507757,Russia
PI507761,PI507761,Russia
PI507830B,PI507830B,Russia
PI507847,PI507847,Russia
PI522209B,PI522209B,Russia
PI522235B,PI522235B,Russia
PI532450,PI532450,China
PI549032,PI549032,China
PI549047,PI549047,China
PI549048,PI549048,China
PI562534,PI562534,Korea
PI562551,PI562551,Korea
PI562553,PI562553,Korea
PI562557,PI562557,Korea
PI562558,PI562558,Korea
PI562564,PI562564,Korea
PI562568,PI562568,Korea
PI597448D,PI597448D,China
PI597458B,PI597458B,China
PI597458C,PI597458C,China
PI597460A,PI597460A,China
PI597461B,PI597461B,China
PI597462B,PI597462B,China
PI597471D,PI597471D,China
PI602450,PI602450,USA
PI639586,PI639586,Russia
PI639588B,PI639588B,Russia
PI639590A,PI639590A,Russia
PI639590B,PI639590B,Russia
PI639621,PI639621,Russia
PI639623A,PI639623A,Russia
PI639635,PI639635,Russia
SC-04,PI658498,USA
SRR1533155,PI562565,Korea
SRR1533157,PI393551,Taiwan
SRR1533161,PI593983,Japan
SRR1533162,PI407027,Japan
SRR1533163,PI562559,Korea
SRR1533164,PI597459C,China
SRR1533168,PI407170,Korea
SRR1533169,PI407131,Japan
SRR1533172,PI479752,China
SRR1533174,PI366123,Japan
SRR1533175,PI458536,China
SRR1533176,PI407197,Korea
SRR1533178,PI522182B,China
SRR1533180,PI378692,Japan
SRR1533181,PI464929A,China
SRR1533182,PI407246,Korea
SRR1533183,PI464935,China
SRR1533185,PI522228,Russia
SRR1533187,PI407275,Korea
SRR1533188,PI464929B,China
SRR1533190,PI326582A,Russia
SRR1533191,PI522216,Russia
SRR1533192,PI468400A,China
SRR1533193,PI479769,China
SRR1533194,PI424096,Korea
SRR1533196,PI504286,Korea
SRR1533197,PI458538,China
SRR1533198,PI458535,China
SRR1533199,PI407285,Japan
SRR1533202,PI407288,China
SRR1533203,PI578341,Russia
SRR1533204,PI549046,China
SRR1533205,PI464927A,China
SRR1533206,PI483465,China
SRR1533210,PI597459D,China
SRR1533211,PI597461A,China
SRR1533212,PI522226,Russia
SRR1533216,PI594615,China
SRR1533220,PI196166,Korea
SRR1533221,PI467343,China
SRR1533229,PI416971,Japan
SRR1533230,PI594777,China
SRR1533231,PI548312,China
SRR1533235,PI507355,Japan
SRR1533236,PI587552,China
SRR1533239,PI603336,China
SRR1533243,PI602991,China
SRR1533245,PI407801,Korea
SRR1533248,PI398296,Korea
SRR1533257,PI548417,Italy
SRR1533259,PI594788,China
SRR1533266,PI438498,USA
SRR1533269,PI153262,Belgium
SRR1533271,PI603318,China
SRR1533272,PI437653,China
SRR1533278,PI567189A,Vietnam
SRR1533279,PI548406,China
SRR1533282,PI323576,India
SRR1533283,PI548382,ND
SRR1533284,PI416890,Japan
SRR1533285,PI587752,China
SRR1533286,PI424391,Korea
SRR1533288,PI603357,China
SRR1533290,PI437944,China
SRR1533292,PI157421,Korea
SRR1533295,PI567364,China
SRR1533297,PI548298,China
SRR1533299,PI548488,China
SRR1533301,PI423954,Japan
SRR1533302,PI587848,China
SRR1533303,PI587666,China
SRR1533310,PI317334A,Japan
SRR1533312,PI548456,Korea
SRR1533314,PI588053A,China
SRR1533315,PI594629,China
SRR1533319,PI567258,China
SRR1533324,PI317336,Japan
SRR1533326,PI594579,China
SRR1533328,PI253658B,China
SRR1533332,PI567293,China
SRR1533333,PI407849,Korea
SRR1533336,PI89138,Korea
SRR1533338,PI417398,China
SRR1533341,PI243541,Japan
SRR1533345,PI548362,USA
SRR1533348,PI591495,USA
SRR1533351,PI548634,USA
SRR1533353,PI547459,USA
SRR1533356,PI553047,USA
SRR1533357,PI547562,USA
SRR1533362,PI533655,USA
SRR1533365,PI548638,Canada
SRR1533366,PI547460,USA
SRR1533369,PI518750,Former Serbia
SRR1533371,PI548540,USA
SRR1533374,PI547686,USA
SRR1533378,PI548311,Canada
SRR1533381,PI591435,Canada
SRR1533384,PI548512,USA
SRR1533385,PI547690,USA
SRR1533386,PI548182,USA
SRR1533387,PI515961,USA
SRR1533389,PI548391,China
SRR1533395,PI548631,USA
SRR1533396,PI547779,USA
SRR1533409,PI546044,Canada
SRR1533415,PI548573,Canada
SRR1533419,PI533602,USA
SRR1533423,PI536635,USA
SRR1533427,PI591541,USA
SRR1533429,PI548593,Canada
SRR1533436,PI591511,USA
SRR1533438,PI513382,USA
SRR1533441,PI548985,USA
SRR1533442,PI548477,USA
SRR1533444,PI547680,USA
SRR1533446,PI591431,Canada
SRR1533451,PI542403,USA
TC21,PI615695,USA
TC22,PI366122,Japan
US-18,PI595099,USA
US-19,PI595362,ND
USB-001,PI548656,USA
USB-002,FC33243,ND
USB-003,PI81785,Japan
USB-004,PI166105,India
USB-005,PI180501,Germany
USB-006,PI240664,Philippines
USB-007,PI266806C,China
USB-009,PI360957,Japan
USB-010,PI361087,Romania
USB-011,PI361093,Serbia
USB-012,PI437265D,Moldova
USB-013,PI438335,Algeria
USB-014,PI468908,China
USB-015,PI497964A,India
USB-016,PI506862,Japan
USB-017,PI507180,Japan
USB-018,PI518668,USA
USB-020,PI603458A,China
USB-021,PI548171,USA
USB-022,PI548193,USA
USB-023,PI548313,Russia
USB-024,PI548325,Russia
USB-025,PI548360,Korea
USB-026,PI548364,Japan
USB-028,PI548447,China
USB-029,PI548452,Korea
USB-031,PI548490,Taiwan
USB-032,PI548520,USA
USB-033,PI548561,USA
USB-035,PI549018,China
USB-036,PI549026,China
USB-037,PI549041A,China
USB-038,PI559932,USA
USB-039,PI567171,China
USB-040,PI567426,China
USB-041,PI567558,China
USB-042,PI567604A,China
USB-043,PI578309,Nepal
USB-044,PI578495,China
USB-045,PI592523,USA
USB-046,PI592954,China
USB-047,PI594307,Japan
USB-048,PI597476,Korea
USB-049,PI603426G,China
USB-050,PI603442,China
USB-052,PI88788,China
USB-058,PI548658,USA
USB-059,FC29333,ND
USB-060,FC31697,Costa
USB-061,PI54591,China
USB-062,PI54608-1,China
USB-063,PI54614,China
USB-064,PI54615-1,China
USB-065,PI58955,China
USB-066,PI62203,China
USB-067,PI68521-1,China
USB-068,PI68604-1,China
USB-069,PI68732-1,China
USB-070,PI70080,China
USB-071,PI70466-3,China
USB-072,PI71465,China
USB-073,PI80837,Japan
USB-074,PI81041,Japan
USB-075,PI83881,Korea
USB-076,PI83942,Korea
USB-077,PI84631,Korea
USB-078,PI84637,Korea
USB-079,PI84656,Korea
USB-080,PI84946-2,Korea
USB-081,PI84973,Japan
USB-084,PI86904,Korea
USB-085,PI86972-2,Korea
USB-086,PI87620,Korea
USB-087,PI88313,China
USB-088,PI88468,China
USB-089,PI89005-5,China
USB-090,PI89775,China
USB-091,PI90479P,China
USB-092,PI90486,China
USB-093,PI91100-3,China
USB-094,PI91159-4,China
USB-095,PI91160,China
USB-096,PI92651,China
USB-097,PI94159-3,Japan
USB-098,PI95860,Korea
USB-100,PI103088,China
USB-101,PI123440,Myanmar
USB-102,PI153231,ND
USB-103,PI153281,Belgium
USB-104,PI154189,Netherlands
USB-106,PI159925,Peru
USB-107,PI165563,India
USB-108,PI165675,China
USB-109,PI171428,China
USB-110,PI171451,Japan
USB-112,PI179935,India
USB-113,PI189873,France
USB-115,PI209333,Japan
USB-116,PI209334,Japan
USB-117,PI232992,Japan
USB-119,PI253661B,China
USB-120,PI261272C,Thailand
USB-121,PI274453,Japan
USB-122,PI291294,China
USB-123,PI291309D,China
USB-124,PI291310C,China
USB-125,PI297505,China
USB-126,PI297520,Hungary
USB-127,PI324924,South Africa
USB-128,PI342434,Japan
USB-129,PI342619A,Russia
USB-131,PI361066B,Romania
USB-132,PI361070,Romania
USB-133,PI361080,Russia
USB-134,PI372403B,Austria
USB-135,PI372418,Serbia
USB-136,PI374207,India
USB-139,PI378658,Ukraine
USB-140,PI378663,Russia
USB-141,PI378680E,Russia
USB-143,PI379618,Taiwan
USB-144,PI391577,China
USB-145,PI391583,China
USB-146,PI398633,Korea
USB-147,PI398965,Korea
USB-148,PI404187,China
USB-149,PI407701,China
USB-150,PI407708A,China
USB-151,PI407742,China
USB-152,PI416751,Japan
USB-153,PI416838,Japan
USB-154,PI417215,Japan
USB-155,PI417242,China
USB-156,PI417345B,China
USB-157,PI417381,Japan
USB-158,PI417479,Japan
USB-159,PI417500,Brazil
USB-160,PI417529,Germany
USB-161,PI417581,USA
USB-162,PI423926,Japan
USB-163,PI424038B,Korea
USB-166,PI424195A,Hungary
USB-167,PI430595,China
USB-168,PI436684,China
USB-169,PI437110A,Russia
USB-170,PI437112A,Russia
USB-171,PI437127A,Georgia
USB-173,PI437160,Russia
USB-174,PI437165A,Russia
USB-175,PI437240,Moldova
USB-177,PI437376A,Russia
USB-178,PI437485,Russia
USB-179,PI437500A,Russia
USB-180,PI437505,Russia
USB-182,PI437662,China
USB-183,PI437685D,China
USB-184,PI437695A,China
USB-185,PI437776,China
USB-186,PI437788A,China
USB-187,PI437793,China
USB-188,PI437814A,China
USB-189,PI437838,Russia
USB-191,PI437956B,China
USB-192,PI437991B,China
USB-193,PI438019B,China
USB-195,PI438083,China
USB-196,PI438112B,China
USB-198,PI438230A,China
USB-199,PI438239B,China
USB-201,PI438309,China
USB-202,PI438323,France
USB-203,PI438336,Algeria
USB-204,PI438347,Australia
USB-206,PI438496B,USA
USB-207,PI438496C,China
USB-208,PI438500,USA
USB-209,PI445824A,Germany
USB-210,PI458505,China
USB-212,PI458510,China
USB-213,PI464896,China
USB-214,PI458912,China
USB-215,PI464923,China
USB-216,PI467347,China
USB-217,PI468408B,China
USB-218,PI475820,China
USB-220,PI476352B,Kyrgyzstan
USB-221,PI479735,China
USB-222,PI490766,China
USB-223,PI495020,China
USB-224,PI497953,India
USB-226,PI497967,India
USB-227,PI504288,Japan
USB-228,PI506933,Japan
USB-229,PI506942,Japan
USB-230,PI507017,Japan
USB-232,PI507088,Japan
USB-233,PI507293B,Japan
USB-234,PI507458,Japan
USB-235,PI507467,Japan
USB-236,PI507471,Japan
USB-238,PI507480,Japan
USB-240,PI514671,China
USB-241,PI518727,China
USB-242,PI532463B,China
USB-245,PI538386A,China
USB-246,PI540552,USA
USB-248,PI542972,USA
USB-249,PI548162,USA
USB-250,PI548169,USA
USB-251,PI548178,USA
USB-252,PI548198,USA
USB-253,PI548200,USA
USB-254,PI548256,USA
USB-255,PI548336,Russia
USB-256,PI548356,Korea
USB-257,PI548359,China
USB-258,PI548383,China
USB-259,PI548400,China
USB-260,PI548411,China
USB-261,PI548427,China
USB-262,PI548473,China
USB-263,PI548474,Korea
USB-264,PI548479,Taiwan
USB-265,PI548521,USA
USB-266,PI548524,USA
USB-268,PI548571,Canada
USB-269,PI548572,Canada
USB-270,PI548582,USA
USB-271,PI548619,USA
USB-272,PI548633,USA
USB-274,PI548696,USA
USB-276,PI548978,USA
USB-277,PI549017,China
USB-278,PI549021A,China
USB-279,PI549028,China
USB-281,PI549040,China
USB-282,PI556511,USA
USB-283,PI561318A,China
USB-284,PI561371,China
USB-285,PI561387,Japan
USB-286,PI561389B,Japan
USB-287,PI561701,USA
USB-290,PI567074B,Indonesia
USB-291,PI567173,China
USB-293,PI567225,Moldova
USB-294,PI567226,Russia
USB-295,PI567231,China
USB-296,PI567238,China
USB-297,PI567626A,China
USB-298,PI567307,China
USB-301,PI567346,China
USB-302,PI567352A,China
USB-303,PI567353,China
USB-304,PI567361,China
USB-306,PI567407,China
USB-307,PI567408,China
USB-308,PI567410B,China
USB-309,PI567415A,China
USB-310,PI567416,China
USB-311,PI567418A,China
USB-312,PI567428,China
USB-313,PI567435B,China
USB-314,PI567439,China
USB-315,PI567488A,China
USB-316,PI567489A,China
USB-317,PI567525,China
USB-318,PI567532,China
USB-319,PI567548,China
USB-320,PI567576,China
USB-322,PI567675,China
USB-323,PI567685,China
USB-324,PI567698A,China
USB-325,PI567726,China
USB-326,PI567746,China
USB-327,PI567780B,China
USB-328,PI567782,Canada
USB-330,PI574477,China
USB-331,PI578375B,China
USB-332,PI578412,China
USB-333,PI578493,China
USB-334,PI578499A,China
USB-335,PI578503,China
USB-336,PI578504,China
USB-338,PI587588A,China
USB-339,PI587588B,China
USB-341,PI587712B,China
USB-342,PI587804,China
USB-343,PI587811A,China
USB-345,PI592937,China
USB-346,PI592940,China
USB-347,PI592952,China
USB-348,PI592960,China
USB-351,PI593953,China
USB-353,PI594170B,Japan
USB-354,PI594456A,China
USB-357,PI594880,China
USB-358,PI594922,USA
USB-361,PI597464,China
USB-362,PI597471A,China
USB-363,PI597478B,Korea
USB-364,PI598358,USA
USB-366,PI602502B,China
USB-367,PI602993,China
USB-368,PI603162,Korea
USB-369,PI603290,China
USB-370,PI603345,China
USB-371,PI603389,China
USB-372,PI603397,China
USB-373,PI603399,China
USB-374,PI603463,China
USB-375,PI603488,China
USB-376,PI603492,China
USB-377,PI603494,China
USB-378,PI603495B,China
USB-381,PI603526,China
USB-382,PI603549,China
USB-383,PI603555,China
USB-384,PI603556,China
USB-385,PI603559,China
USB-386,PI603675,China
USB-387,PI603698J,China
USB-388,PI603722,China
USB-389,PI605765B,China
USB-390,PI606374,Vietnam
USB-392,PI612730,China
USB-393,PI612754,China
USB-395,PI628812,Brazil
USB-396,PI628913,Brazil
USB-398,PI628963,Brazil
USB-399,PI631123,USA
USB-400,PI632418,USA
USB-401,PI632650,Vietnam
USB-402,PI639528B,Russia
USB-403,PI639543,Russia
USB-404,PI639550E,Moldova
USB-405,PI639559B,Ukraine
USB-407,PI639570,Philippines
USB-409,PI322692,Australia
USB-411,PI567788,USA
USB-412,FC3654-1,China
USB-414,FC31571,China
USB-415,FC32033,ND
USB-416,PI54873,China
USB-417,PI59845,Japan
USB-418,PI60970,China
USB-419,PI62202-2,China
USB-421,PI68423,China
USB-422,PI68436,China
USB-423,PI68523,China
USB-424,PI68679-2,China
USB-425,PI68731,China
USB-426,PI68736,China
USB-427,PI68765,China
USB-428,PI68815,China
USB-429,PI70078,China
USB-430,PI70201,China
USB-431,PI70208,China
USB-432,PI70242-2,China
USB-433,PI79616,China
USB-435,PI79797,ND
USB-436,PI79832,China
USB-437,PI79870-4,China
USB-438,PI80466-1,Japan
USB-439,PI80671,Japan
USB-440,PI81042-2,Japan
USB-441,PI82302,Korea
USB-442,PI83925,Japan
USB-443,PI84509,ND
USB-444,PI84660,Korea
USB-445,PI84734,Korea
USB-446,PI86084,Japan
USB-447,PI86982,Korea
USB-448,PI87076,Korea
USB-449,PI87571,Korea
USB-450,PI87618,Korea
USB-451,PI87634,Japan
USB-452,PI88306,China
USB-453,PI88448,China
USB-454,PI88479,China
USB-455,PI88499,China
USB-456,PI88508,China
USB-459,PI90369,China
USB-460,PI90406-1,China
USB-462,PI90495N,China
USB-463,PI90499-1,China
USB-464,PI90577,China
USB-465,PI90723,ND
USB-466,PI90768,China
USB-467,PI91083,Korea
USB-468,PI91089,China
USB-469,PI91120,China
USB-470,PI91132-3,China
USB-472,PI91725,Korea
USB-473,PI91731-1,China
USB-474,PI92601,China
USB-475,PI92604,China
USB-476,PI92618,China
USB-477,PI92688-2,China
USB-478,PI92718-2,China
USB-479,PI92728,China
USB-480,PI93055,China
USB-481,PI93563,China
USB-484,PI103079,China
USB-485,PI123439,Myanmar
USB-486,PI123587,China
USB-488,PI165674,China
USB-489,PI165929,India
USB-490,PI171438,China
USB-492,PI180532,Germany
USB-494,PI192870,Indonesia
USB-496,PI198067,Sweden
USB-497,PI200503,Japan
USB-498,PI209331,Japan
USB-499,PI219698,Pakistan
USB-500,PI227320,Japan
USB-502,PI235347,Japan
USB-504,PI253652B,China
USB-505,PI253656B,China
USB-506,PI257429,Germany
USB-510,PI290136,France
USB-512,PI319527,China
USB-514,PI325779,Brazil
USB-516,PI341245,Tanzania
USB-518,PI370057B,Russia
USB-520,PI377574,Japan
USB-521,PI378670B,Moldova
USB-522,PI378682C,Japan
USB-524,PI399058,Korea
USB-525,PI404161,Georgia
USB-526,PI404182,China
USB-527,PI404199,China
USB-528,PI407659B,China
USB-529,PI407717,China
USB-530,PI408088,Korea
USB-531,PI416768,Japan
USB-533,PI417007,Japan
USB-534,PI417077,Japan
USB-537,PI417550,Russia
USB-538,PI424005,Korea
USB-540,PI430596,China
USB-541,PI430598B,China
USB-543,PI434974,China
USB-544,PI437123,Russia
USB-545,PI437135B,Russia
USB-546,PI437138,Russia
USB-548,PI437168A,Russia
USB-549,PI437211B,Moldova
USB-550,PI437287,Moldova
USB-551,PI437296,Moldova
USB-553,PI437321,Russia
USB-554,PI437326,Russia
USB-555,PI437347,Russia
USB-556,PI437366,Russia
USB-558,PI437427A,Russia
USB-559,PI437431,Russia
USB-560,PI437476,Russia
USB-561,PI437477B,Russia
USB-562,PI437487,Russia
USB-563,PI437513,Russia
USB-564,PI437562,China
USB-565,PI437578,China
USB-566,PI437594A,China
USB-567,PI437609B,China
USB-568,PI437615A,China
USB-569,PI437634,China
USB-570,PI437640A,China
USB-571,PI437721B,China
USB-573,PI437781,China
USB-574,PI437798,China
USB-575,PI437815,China
USB-576,PI437875A,China
USB-577,PI437995A,China
USB-578,PI437999,China
USB-579,PI438011,China
USB-580,PI438047,China
USB-581,PI438120,China
USB-582,PI438195,China
USB-583,PI438267,China
USB-584,PI438310,Korea
USB-585,PI438312,Algeria
USB-586,PI438329,Algeria
USB-587,PI438358B,Bulgaria
USB-589,PI438450,Poland
USB-590,PI438492,USA
USB-591,PI438504B,USA
USB-592,PI438509A,USA
USB-593,PI464913,China
USB-594,PI466749A,China
USB-595,PI467313,China
USB-596,PI468919,China
USB-597,PI475812B,China
USB-599,PI476344,Uzbekistan
USB-602,PI476939,Vietnam
USB-603,PI483253,Brazil
USB-604,PI504495,Taiwan
USB-607,PI507678,Russia
USB-608,PI508083,USA
USB-609,PI508269,USA
USB-611,PI518711,China
USB-612,PI518759,Taiwan
USB-613,PI525454,USA
USB-614,PI532454,China
USB-615,PI533654,USA
USB-616,PI534648,USA
USB-617,PI539865,USA
USB-618,PI539936,USA
USB-619,PI540555,USA
USB-620,PI543794,USA
USB-622,PI547831,USA
USB-623,PI548158,USA
USB-628,PI548414,Japan
USB-629,PI548440,USA
USB-630,PI548464,China
USB-632,PI548472,China
USB-633,PI548491,China
USB-634,PI548497,USA
USB-635,PI548528,USA
USB-637,PI548547,USA
USB-640,PI548568,USA
USB-642,PI549023B,China
USB-646,PI556637,USA
USB-650,PI561321,China
USB-654,PI566998A,Indonesia
USB-655,PI567056A,Indonesia
USB-656,PI567060A,Indonesia
USB-658,PI567170A,China
