Data-storage-ID,PI-ID,Maturity group
USB-741,PI594470C,VIII
USB-742,PI594487,VIII
USB-743,PI594497,VIII
USB-745,PI594660A,V
USB-748,PI594753A,VII
USB-749,PI594757,IX
USB-750,PI594769,IX
USB-751,PI594805A,VII
USB-752,PI594810B,VI
USB-753,PI594822,IX
USB-754,PI594830,X
USB-755,PI594834A,VII
USB-756,PI594839A,VIII
USB-758,PI594883,IV
USB-759,PI597384,IV
USB-761,PI597402,0
USB-762,PI602492,III
USB-763,PI603174A,IV
USB-765,PI603308A,I
USB-768,PI603356,I
USB-769,PI603401,IV
USB-771,PI603408,I
USB-772,PI603412A,II
USB-773,PI603421B,III
USB-776,PI603446,II
USB-777,PI603451A,III
USB-778,PI603457B,IV
USB-779,PI603477A,III
USB-780,PI603490,IV
USB-781,PI603496B,IV
USB-782,PI603502A,III
USB-783,PI603505,IV
USB-784,PI603510,V
USB-786,PI603523,V
USB-787,PI603532,VI
USB-788,PI603534B,VIII
USB-792,PI603554B,IV
USB-793,PI603557,IV
USB-794,PI603574,IV
USB-795,PI603583,IV
USB-798,PI603687A,IV
USB-799,PI603696,VI
USB-800,PI603740B,IX
USB-801,PI603910C,V
USB-802,PI603911B,III
USB-803,PI605839A,IV
USB-805,PI619615,VI
USB-806,PI628834,VIII
USB-807,PI628867,VI
USB-812,PI632654,V
USB-814,PI632943B,VII
USB-818,PI653874B,II
USB-819,PI656647,IV
