Data-storage-ID,PI-ID,Maturity group
PI597460A,PI597460A,ND
PI597461B,PI597461B,ND
PI597462B,PI597462B,ND
PI597471D,PI597471D,ND
PI602450,PI602450,IV
PI639586,PI639586,ND
PI639588B,PI639588B,ND
PI639590A,PI639590A,ND
PI639590B,PI639590B,ND
PI639621,PI639621,ND
PI639623A,PI639623A,ND
PI639635,PI639635,ND
SC-04,PI658498,VI
SRR1533155,PI562565,ND
SRR1533157,PI393551,ND
SRR1533161,PI593983,ND
SRR1533162,PI407027,ND
SRR1533163,PI562559,ND
SRR1533164,PI597459C,ND
SRR1533168,PI407170,ND
SRR1533169,PI407131,ND
SRR1533172,PI479752,I
SRR1533174,PI366123,IV
SRR1533175,PI458536,0
SRR1533176,PI407197,ND
SRR1533178,PI522182B,ND
SRR1533180,PI378692,IV
SRR1533181,PI464929A,0
SRR1533182,PI407246,ND
SRR1533183,PI464935,ND
SRR1533185,PI522228,ND
SRR1533187,PI407275,IV
SRR1533188,PI464929B,0
SRR1533190,PI326582A,II
SRR1533191,PI522216,ND
SRR1533192,PI468400A,IV
SRR1533193,PI479769,0
SRR1533194,PI424096,ND
SRR1533196,PI504286,ND
SRR1533197,PI458538,0
SRR1533198,PI458535,0
SRR1533199,PI407285,ND
SRR1533202,PI407288,II
SRR1533203,PI578341,ND
SRR1533204,PI549046,ND
SRR1533205,PI464927A,0
SRR1533206,PI483465,ND
SRR1533210,PI597459D,ND
SRR1533211,PI597461A,ND
SRR1533212,PI522226,ND
SRR1533216,PI594615,IV
SRR1533220,PI196166,V
SRR1533221,PI467343,I
SRR1533229,PI416971,IV
SRR1533230,PI594777,IV
SRR1533231,PI548312,I
SRR1533235,PI507355,I
SRR1533236,PI587552,VII
SRR1533239,PI603336,II
SRR1533243,PI602991,IV
SRR1533245,PI407801,VI
SRR1533248,PI398296,II
SRR1533257,PI548417,I
SRR1533259,PI594788,ND
SRR1533266,PI438498,IV
SRR1533269,PI153262,0
SRR1533271,PI603318,I
SRR1533272,PI437653,II
SRR1533278,PI567189A,IV
SRR1533279,PI548406,II
SRR1533282,PI323576,IX
SRR1533283,PI548382,0
SRR1533284,PI416890,0
SRR1533285,PI587752,V
SRR1533286,PI424391,VI
SRR1533288,PI603357,I
SRR1533290,PI437944,II
SRR1533292,PI157421,III
SRR1533295,PI567364,III
SRR1533297,PI548298,III
SRR1533299,PI548488,V
SRR1533301,PI423954,0
SRR1533302,PI587848,V
SRR1533303,PI587666,VI
SRR1533310,PI317334A,I
SRR1533312,PI548456,VI
SRR1533314,PI588053A,V
SRR1533315,PI594629,VI
SRR1533319,PI567258,II
SRR1533324,PI317336,0
SRR1533326,PI594579,V
SRR1533328,PI253658B,I
SRR1533332,PI567293,II
SRR1533333,PI407849,III
SRR1533336,PI89138,II
SRR1533338,PI417398,III
SRR1533341,PI243541,IV
SRR1533345,PI548362,III
SRR1533348,PI591495,IV
SRR1533351,PI548634,III
